plotid,treat,climate,subplot,cotyledon or unk,ach mil,agr eup,cen jac,cre bie,cre cap,cir sp,dia car,dau car,fal vul,fall conv,gal alb,gal ver,ger sp,hyp rad,kna arv,larn sp,leu vul,lot cor,lyc sp,med sp,pim sax,pla lan,pla med,pru vul,sca och,sec var,sil lat,sil vul,ste med,tri sp,ver sp,vic cra,grass,cer hol,ran arc,pic hic,triangle seedling
25,EL,future,O,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,
25,EL,future,I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,E,future,O,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,
26,E,future,I,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,
27,FL,future,O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,FL,future,I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,F,future,O,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
28,F,future,I,1,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,
29,C,future,O,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,
29,C,future,I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,L,future,O,,,,,,,,6,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
30,L,future,I,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
