species,individual,leaf,biomass.mg,size.px,size.mm2,comments
SILLAT,4,1,4.62,22656,164.6511628,
SILLAT,4,2,4.34,20193,146.7514535,
SILLAT,4,3,3.13,15469,112.4200581,
SILLAT,5,1,6.14,28869,209.8037791,
SILLAT,5,2,6.98,28519,207.2601744,
SILLAT,5,3,3.65,17552,127.5581395,
SILLAT,6,1,9.07,40076,291.25,
SILLAT,6,2,9.09,39446,286.6715116,
SILLAT,6,3,4.95,25065,182.1584302,
SILLAT,7,1,6.28,21469,156.0247093,
SILLAT,7,2,7.71,24579,178.6264535,
SILLAT,7,3,4.83,18713,135.9956395,
SILLAT,8,1,6.97,32923,239.2659884,
SILLAT,8,2,8.62,35926,261.0901163,
SILLAT,8,3,6.54,30310,220.2761628,
SILLAT,9,1,11.30,44008,319.8255814,
SILLAT,9,2,10.07,41265,299.8909884,
SILLAT,9,3,7.86,36613,266.0828488,
SILLAT,10,1,10.50,47686,346.5552326,
SILLAT,10,2,7.75,36905,268.2049419,
SILLAT,10,3,6.63,27983,203.3648256,
SILVUL,1,1,5.92,22629,164.4549419,
SILVUL,1,2,6.32,23992,174.3604651,
SILVUL,1,3,3.68,16160,117.4418605,
SILVUL,2,1,14.30,42261,307.1293605,
SILVUL,2,2,12.12,40058,291.119186,
SILVUL,2,3,6.59,26207,190.4578488,
SILVUL,3,1,6.22,29801,216.5770349,
SILVUL,3,2,5.91,28984,210.6395349,
SILVUL,3,3,3.24,18255,132.6671512,
SILVUL,4,1,4.85,25141,182.7107558,
SILVUL,4,2,4.52,23630,171.7296512,
SILVUL,4,3,4.25,20154,146.4680233,
SILVUL,5,1,12.93,47006,341.6133721,
SILVUL,5,2,10.08,40602,295.0726744,
SILVUL,5,3,10.57,403801,2934.600291,
SILVUL,6,1,5.50,26260,190.8430233,
SILVUL,6,2,5.55,25547,185.6613372,
SILVUL,6,3,3.59,17510,127.252907,
SILVUL,7,1,7.95,27839,202.318314,
SILVUL,7,2,8.71,27023,196.3880814,
SILVUL,7,3,5.04,18651,135.5450581,
SILVUL,8,1,5.54,29820,216.7151163,
SILVUL,8,2,6.42,29101,211.4898256,
SILVUL,8,3,4.26,22190,161.2645349,
SILVUL,9,1,3.68,20115,146.184593,
SILVUL,9,2,3.41,18185,132.1584302,
SILVUL,9,3,2.20,15123,109.9055233,
SILVUL,10,1,6.18,25348,184.2151163,
SILVUL,10,2,6.93,26690,193.9680233,
SILVUL,10,3,3.54,18166,132.0203488,
